bls_code,nest_id,ind_descr,T,T_descr,D,D_descr,SS,SS_descr,S,S_descr,N3D,N3D_descr,N4D,N4D_descr,N5D,N5D_descr,N6D,N6D_descr,parent,parent_descr
212113,1011212113,Anthracite Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2121,Coal Mining,21211,Coal Mining,212113,Anthracite Mining ,21211,Coal Mining
212210,1011212210,Iron Ore Mining,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21221,Iron Ore Mining,212210,Iron Ore Mining,21221,Iron Ore Mining
212221,1011212221,Gold Ore Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21222,Gold Ore and Silver Ore Mining,212221,Gold Ore Mining ,21222,Gold Ore and Silver Ore Mining
212222,1011212222,Silver Ore Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21222,Gold Ore and Silver Ore Mining,212222,Silver Ore Mining ,21222,Gold Ore and Silver Ore Mining
212230,1011212230,"Copper, Nickel, Lead, and Zinc Mining ",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21223,"Copper, Nickel, Lead, and Zinc Mining",212230,"Copper, Nickel, Lead, and Zinc Mining ",21223,"Copper, Nickel, Lead, and Zinc Mining"
212291,1011212291,Uranium-Radium-Vanadium Ore Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21229,Other Metal Ore Mining,212291,Uranium-Radium-Vanadium Ore Mining ,21229,Other Metal Ore Mining
212299,1011212299,All Other Metal Ore Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2122,Metal Ore Mining,21229,Other Metal Ore Mining,212299,All Other Metal Ore Mining ,21229,Other Metal Ore Mining
212311,1011212311,Dimension Stone Mining and Quarrying ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21231,Stone Mining and Quarrying,212311,Dimension Stone Mining and Quarrying ,21231,Stone Mining and Quarrying
212312,1011212312,Crushed and Broken Limestone Mining and Quarrying ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21231,Stone Mining and Quarrying,212312,Crushed and Broken Limestone Mining and Quarrying ,21231,Stone Mining and Quarrying
212313,1011212313,Crushed and Broken Granite Mining and Quarrying ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21231,Stone Mining and Quarrying,212313,Crushed and Broken Granite Mining and Quarrying ,21231,Stone Mining and Quarrying
212319,1011212319,Other Crushed and Broken Stone Mining and Quarrying ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21231,Stone Mining and Quarrying,212319,Other Crushed and Broken Stone Mining and Quarrying ,21231,Stone Mining and Quarrying
212321,1011212321,Construction Sand and Gravel Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",212321,Construction Sand and Gravel Mining ,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
212322,1011212322,Industrial Sand Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",212322,Industrial Sand Mining ,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
212324,1011212324,Kaolin and Ball Clay Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",212324,Kaolin and Ball Clay Mining ,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
212325,1011212325,Clay and Ceramic and Refractory Minerals Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying",212325,Clay and Ceramic and Refractory Minerals Mining ,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
212391,1011212391,"Potash, Soda, and Borate Mineral Mining ",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying,212391,"Potash, Soda, and Borate Mineral Mining ",21239,Other Nonmetallic Mineral Mining and Quarrying
212392,1011212392,Phosphate Rock Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying,212392,Phosphate Rock Mining ,21239,Other Nonmetallic Mineral Mining and Quarrying
212393,1011212393,Other Chemical and Fertilizer Mineral Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying,212393,Other Chemical and Fertilizer Mineral Mining ,21239,Other Nonmetallic Mineral Mining and Quarrying
212399,1011212399,All Other Nonmetallic Mineral Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying,212399,All Other Nonmetallic Mineral Mining ,21239,Other Nonmetallic Mineral Mining and Quarrying
213111,1011213111,Drilling Oil and Gas Wells,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining,213111,Drilling Oil and Gas Wells,21311,Support Activities for Mining
213112,1011213112,Support Activities for Oil and Gas Operations ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining,213112,Support Activities for Oil and Gas Operations ,21311,Support Activities for Mining
213113,1011213113,Support Activities for Coal Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining,213113,Support Activities for Coal Mining ,21311,Support Activities for Mining
213114,1011213114,Support Activities for Metal Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining,213114,Support Activities for Metal Mining ,21311,Support Activities for Mining
213115,1011213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",213,Support Activities for Mining,2131,Support Activities for Mining,21311,Support Activities for Mining,213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,21311,Support Activities for Mining
221111,1021221111,Hydroelectric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221111,Hydroelectric Power Generation ,22111,Electric Power Generation 
221112,1021221112,Fossil Fuel Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221112,Fossil Fuel Electric Power Generation ,22111,Electric Power Generation 
221113,1021221113,Nuclear Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221113,Nuclear Electric Power Generation ,22111,Electric Power Generation 
221114,1021221114,Solar Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221114,Solar Electric Power Generation ,22111,Electric Power Generation 
221115,1021221115,Wind Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221115,Wind Electric Power Generation ,22111,Electric Power Generation 
221116,1021221116,Geothermal Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221116,Geothermal Electric Power Generation ,22111,Electric Power Generation 
221117,1021221117,Biomass Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221117,Biomass Electric Power Generation ,22111,Electric Power Generation 
221118,1021221118,Other Electric Power Generation ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22111,Electric Power Generation ,221118,Other Electric Power Generation ,22111,Electric Power Generation 
221121,1021221121,Electric Bulk Power Transmission and Control ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22112,"Electric Power Transmission, Control, and Distribution ",221121,Electric Bulk Power Transmission and Control ,22112,"Electric Power Transmission, Control, and Distribution "
221122,1021221122,Electric Power Distribution ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2211,"Electric Power Generation, Transmission and Distribution",22112,"Electric Power Transmission, Control, and Distribution ",221122,Electric Power Distribution ,22112,"Electric Power Transmission, Control, and Distribution "
221210,1021221210,Natural Gas Distribution ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2212,Natural Gas Distribution ,22121,Natural Gas Distribution ,221210,Natural Gas Distribution ,22121,Natural Gas Distribution 
221310,1021221310,Water Supply and Irrigation Systems ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2213,"Water, Sewage and Other Systems ",22131,Water Supply and Irrigation Systems ,221310,Water Supply and Irrigation Systems ,22131,Water Supply and Irrigation Systems 
221320,1021221320,Sewage Treatment Facilities ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2213,"Water, Sewage and Other Systems ",22132,Sewage Treatment Facilities ,221320,Sewage Treatment Facilities ,22132,Sewage Treatment Facilities 
221330,1021221330,Steam and Air-Conditioning Supply ,10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",22,Utilities,221,Utilities ,2213,"Water, Sewage and Other Systems ",22133,Steam and Air-Conditioning Supply ,221330,Steam and Air-Conditioning Supply ,22133,Steam and Air-Conditioning Supply 
236115,1012236115,New Single-Family Housing Construction (except For-Sale Builders) ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction,236115,New Single-Family Housing Construction (except For-Sale Builders) ,23611,Residential Building Construction
236116,1012236116,New Multifamily Housing Construction (except For-Sale Builders) ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction,236116,New Multifamily Housing Construction (except For-Sale Builders) ,23611,Residential Building Construction
236117,1012236117,New Housing For-Sale Builders ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction,236117,New Housing For-Sale Builders ,23611,Residential Building Construction
236118,1012236118,Residential Remodelers ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,2361,Residential Building Construction,23611,Residential Building Construction,236118,Residential Remodelers ,23611,Residential Building Construction
236210,1012236210,Industrial Building Construction ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23621,Industrial Building Construction,236210,Industrial Building Construction ,23621,Industrial Building Construction
236220,1012236220,Commercial and Institutional Building Construction ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,236,Construction of Buildings,2362,Nonresidential Building Construction,23622,Commercial and Institutional Building Construction,236220,Commercial and Institutional Building Construction ,23622,Commercial and Institutional Building Construction
237110,1012237110,Water and Sewer Line and Related Structures Construction ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,2371,Utility System Construction,23711,Water and Sewer Line and Related Structures Construction,237110,Water and Sewer Line and Related Structures Construction ,23711,Water and Sewer Line and Related Structures Construction
237120,1012237120,Oil and Gas Pipeline and Related Structures Construction ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,2371,Utility System Construction,23712,Oil and Gas Pipeline and Related Structures Construction,237120,Oil and Gas Pipeline and Related Structures Construction ,23712,Oil and Gas Pipeline and Related Structures Construction
237130,1012237130,Power and Communication Line and Related Structures Construction ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,2371,Utility System Construction,23713,Power and Communication Line and Related Structures Construction,237130,Power and Communication Line and Related Structures Construction ,23713,Power and Communication Line and Related Structures Construction
237210,1012237210,Land Subdivision ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,2372,Land Subdivision,23721,Land Subdivision,237210,Land Subdivision ,23721,Land Subdivision
237310,1012237310,"Highway, Street, and Bridge Construction ",10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,2373,"Highway, Street, and Bridge Construction",23731,"Highway, Street, and Bridge Construction",237310,"Highway, Street, and Bridge Construction ",23731,"Highway, Street, and Bridge Construction"
237990,1012237990,Other Heavy and Civil Engineering Construction ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,237,Heavy and Civil Engineering Construction,2379,Other Heavy and Civil Engineering Construction,23799,Other Heavy and Civil Engineering Construction,237990,Other Heavy and Civil Engineering Construction ,23799,Other Heavy and Civil Engineering Construction
238110,1012238110,Poured Concrete Foundation and Structure Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23811,Poured Concrete Foundation and Structure Contractors ,238110,Poured Concrete Foundation and Structure Contractors ,23811,Poured Concrete Foundation and Structure Contractors 
238120,1012238120,Structural Steel and Precast Concrete Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23812,Structural Steel and Precast Concrete Contractors ,238120,Structural Steel and Precast Concrete Contractors ,23812,Structural Steel and Precast Concrete Contractors 
238130,1012238130,Framing Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23813,Framing Contractors ,238130,Framing Contractors ,23813,Framing Contractors 
238140,1012238140,Masonry Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23814,Masonry Contractors ,238140,Masonry Contractors ,23814,Masonry Contractors 
238150,1012238150,Glass and Glazing Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23815,Glass and Glazing Contractors ,238150,Glass and Glazing Contractors ,23815,Glass and Glazing Contractors 
238160,1012238160,Roofing Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23816,Roofing Contractors ,238160,Roofing Contractors ,23816,Roofing Contractors 
238170,1012238170,Siding Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23817,Siding Contractors ,238170,Siding Contractors ,23817,Siding Contractors 
238190,1012238190,"Other Foundation, Structure, and Building Exterior Contractors ",10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2381,"Foundation, Structure, and Building Exterior Contractors",23819,"Other Foundation, Structure, and Building Exterior Contractors ",238190,"Other Foundation, Structure, and Building Exterior Contractors ",23819,"Other Foundation, Structure, and Building Exterior Contractors "
238210,1012238210,Electrical Contractors and Other Wiring Installation Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23821,Electrical Contractors and Other Wiring Installation Contractors,238210,Electrical Contractors and Other Wiring Installation Contractors,23821,Electrical Contractors and Other Wiring Installation Contractors
238220,1012238220,"Plumbing, Heating, and Air-Conditioning Contractors ",10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23822,"Plumbing, Heating, and Air-Conditioning Contractors",238220,"Plumbing, Heating, and Air-Conditioning Contractors ",23822,"Plumbing, Heating, and Air-Conditioning Contractors"
238290,1012238290,Other Building Equipment Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2382,Building Equipment Contractors,23829,Other Building Equipment Contractors,238290,Other Building Equipment Contractors ,23829,Other Building Equipment Contractors
238310,1012238310,Drywall and Insulation Contractors ,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23831,Drywall and Insulation Contractors,238310,Drywall and Insulation Contractors ,23831,Drywall and Insulation Contractors
238320,1012238320,Painting and Wall Covering Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23832,Painting and Wall Covering Contractors,238320,Painting and Wall Covering Contractors,23832,Painting and Wall Covering Contractors
238330,1012238330,Flooring Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23833,Flooring Contractors,238330,Flooring Contractors,23833,Flooring Contractors
238340,1012238340,Tile and Terrazzo Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23834,Tile and Terrazzo Contractors,238340,Tile and Terrazzo Contractors,23834,Tile and Terrazzo Contractors
238350,1012238350,Finish Carpentry Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23835,Finish Carpentry Contractors,238350,Finish Carpentry Contractors,23835,Finish Carpentry Contractors
238390,1012238390,Other Building Finishing Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23839,Other Building Finishing Contractors,238390,Other Building Finishing Contractors,23839,Other Building Finishing Contractors
238910,1012238910,Site Preparation Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2389,Other Specialty Trade Contractors,23891,Site Preparation Contractors,238910,Site Preparation Contractors,23891,Site Preparation Contractors
238990,1012238990,All Other Specialty Trade Contractors,10,"Total, All Industries",101,Goods-Producing,1012,Construction,23,Construction,238,Specialty Trade Contractors,2389,Other Specialty Trade Contractors,23899,All Other Specialty Trade Contractors,238990,All Other Specialty Trade Contractors,23899,All Other Specialty Trade Contractors
311111,1013311111,Dog and Cat Food Manufacturing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3111,Animal Food Manufacturing,31111,Animal Food Manufacturing,311111,Dog and Cat Food Manufacturing ,31111,Animal Food Manufacturing
311119,1013311119,Other Animal Food Manufacturing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3111,Animal Food Manufacturing,31111,Animal Food Manufacturing,311119,Other Animal Food Manufacturing ,31111,Animal Food Manufacturing
311211,1013311211,Flour Milling ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31121,Flour Milling and Malt Manufacturing,311211,Flour Milling ,31121,Flour Milling and Malt Manufacturing
311212,1013311212,Rice Milling ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31121,Flour Milling and Malt Manufacturing,311212,Rice Milling ,31121,Flour Milling and Malt Manufacturing
311213,1013311213,Malt Manufacturing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31121,Flour Milling and Malt Manufacturing,311213,Malt Manufacturing ,31121,Flour Milling and Malt Manufacturing
311221,1013311221,Wet Corn Milling ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing,311221,Wet Corn Milling ,31122,Starch and Vegetable Fats and Oils Manufacturing
311224,1013311224,Soybean and Other Oilseed Processing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing,311224,Soybean and Other Oilseed Processing ,31122,Starch and Vegetable Fats and Oils Manufacturing
311225,1013311225,Fats and Oils Refining and Blending ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31122,Starch and Vegetable Fats and Oils Manufacturing,311225,Fats and Oils Refining and Blending ,31122,Starch and Vegetable Fats and Oils Manufacturing
311230,1013311230,Breakfast Cereal Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31123,Breakfast Cereal Manufacturing,311230,Breakfast Cereal Manufacturing,31123,Breakfast Cereal Manufacturing
311313,1013311313,Beet Sugar Manufacturing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31131,Sugar Manufacturing,311313,Beet Sugar Manufacturing ,31131,Sugar Manufacturing
311314,1013311314,Cane Sugar Manufacturing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31131,Sugar Manufacturing,311314,Cane Sugar Manufacturing ,31131,Sugar Manufacturing
311340,1013311340,Nonchocolate Confectionery Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31134,Nonchocolate Confectionery Manufacturing,311340,Nonchocolate Confectionery Manufacturing,31134,Nonchocolate Confectionery Manufacturing
311351,1013311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31135,Chocolate and Confectionery Manufacturing,311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,31135,Chocolate and Confectionery Manufacturing
311352,1013311352,Confectionery Manufacturing from Purchased Chocolate ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3113,Sugar and Confectionery Product Manufacturing,31135,Chocolate and Confectionery Manufacturing,311352,Confectionery Manufacturing from Purchased Chocolate ,31135,Chocolate and Confectionery Manufacturing
311411,1013311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31141,Frozen Food Manufacturing,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing ",31141,Frozen Food Manufacturing
311412,1013311412,Frozen Specialty Food Manufacturing ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31141,Frozen Food Manufacturing,311412,Frozen Specialty Food Manufacturing ,31141,Frozen Food Manufacturing
311421,1013311421,Fruit and Vegetable Canning ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31142,"Fruit and Vegetable Canning, Pickling, and Drying",311421,Fruit and Vegetable Canning ,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
311422,1013311422,Specialty Canning ,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,31-33,Manufacturing,311,Food Manufacturing,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31142,"Fruit and Vegetable Canning, Pickling, and Drying",311422,Specialty Canning ,31142,"Fruit and Vegetable Canning, Pickling, and Drying"
